text,intent
Where is HOD,ithod
it hod,ithod
name of it hod,ithod
Sino po ang IT head,ithod
Sino chairperson ng IT department,ithod
Who is computer HOD,computerhod
Where is computer HOD,computerhod
computer hod,computerhod
name of computer hod,computerhod
Sino head ng computer science,computerhod
Who is extc HOD,extchod
Where is  extc HOD,extchod
extc hod,extchod
name of extc hod,extchod
Sino head ng ECE department,extchod
what is the name of principal,principal
whatv is the principal name,principal
principal name,principal
Who is college principal,principal
Where is principal's office,principal
principal,principal
name of principal,principal
Sino po ang principal,principal
exam dates,sem
exam schedule,sem
When is semester exam,sem
Semester exam timetable,sem
sem,sem
semester,sem
exam,sem
when is exam,sem
exam timetable,sem
exam dates,sem
when is semester,sem
Kailan magsisimula ang sem,sem
Ilang units bawat sem,sem
what is the process of admission,admission
what is the admission process,admission
How to take admission in your college,admission
What is the process for admission,admission
admission,admission
admission process,admission
Paano mag-apply,admission
Anong requirements sa pag-enroll,admission
Pwede pa po bang mag-enroll,admission
scholarship,scholarship
Is scholarship available,scholarship
scholarship engineering,scholarship
scholarship it,scholarship
scholarship ce,scholarship
scholarship mechanical,scholarship
scholarship civil,scholarship
scholarship chemical,scholarship
scholarship for AI/ML,scholarship
available scholarships,scholarship
scholarship for computer engineering,scholarship
scholarship for IT engineering,scholarship
scholarship for mechanical engineering,scholarship
scholarship for civil engineering,scholarship
scholarship for chemical engineering,scholarship
list of scholarship,scholarship
comps scholarship,scholarship
IT scholarship,scholarship
mechanical scholarship,scholarship
civil scholarship,scholarship
chemical scholarship,scholarship
automobile scholarship,scholarship
first year scholarship,scholarship
second year scholarship,scholarship
third year scholarship,scholarship
fourth year scholarship,scholarship
May scholarship ba,scholarship
Paano mag-apply ng iskolarship,scholarship
Sino pwede mag-apply ng scholarship,scholarship
What facilities college provide,facilities
College facility,facilities
What are college facilities,facilities
facilities,facilities
facilities provided,facilities
Anong pasilidad meron dito,facilities
max number of students,college intake
number of seats per branch,college intake
number of seats in each branch,college intake
maximum number of seats,college intake
maximum students intake,college intake
What is college intake,college intake
how many stundent are taken in each branch,college intake
seat allotment,college intake
seats,college intake
Ilan estudyante tinatanggap,college intake
college dress code,uniform
college dresscode,uniform
what is the uniform,uniform
can we wear casuals,uniform
Does college have an uniform,uniform
Is there any uniform,uniform
uniform,uniform
what about uniform,uniform
do we have to wear uniform,uniform
Ano po ang uniform,uniform
Saan bibili ng uniform,uniform
what are the different committe in college,committee
different committee in college,committee
Are there any committee in college,committee
Give me committee details,committee
committee,committee
how many committee are there in college,committee
Sino nasa committee,committee
holidays,vacation
when will semester starts,vacation
when will semester end,vacation
when is the holidays,vacation
list of holidays,vacation
Holiday in these year,vacation
holiday list,vacation
about vacations,vacation
about holidays,vacation
When is vacation,vacation
When is holidays,vacation
how long will be the vacation,vacation
Kailan ang bakasyon,vacation
Kailan magsisimula ang semestral break,vacation
sports and games,sports
give sports details,sports
sports infrastructure,sports
sports facilities,sports
information about sports,sports
Sports activities,sports
please provide sports and games information,sports
Anong sports meron,sports
May varsity ba,sports
okk,salutaion
okie,salutaion
nice work,salutaion
well done,salutaion
good job,salutaion
thanks for the help,salutaion
Thank You,salutaion
its ok,salutaion
Thanks,salutaion
Good work,salutaion
k,salutaion
ok,salutaion
okay,salutaion
Ok salamat po,salutaion
"Ayos, thank you",salutaion
what can you do,task
what are the thing you can do,task
things you can do,task
what can u do for me,task
how u can help me,task
why i should use you,task
Ano kaya mong gawin,task
Anong tulong pwede mo ibigay,task
ragging,ragging
is ragging practice active in college,ragging
does college have any antiragging facility,ragging
is there any ragging cases,ragging
is ragging done here,ragging
ragging against,ragging
antiragging facility,ragging
ragging juniors,ragging
ragging history,ragging
ragging incidents,ragging
May hazing ba dito,ragging
Paano mag-report ng bullying,ragging
hod,hod
hod name,hod
who is the hod,hod
Sino head ng department,hod
How do I log into the student portal,portal_login
I forgot my student portal password,portal_login
How to reset my portal password,portal_login
Why cant I access the student portal,portal_login
What do I do if my portal account is locked,portal_login
Paano mag-login sa portal,portal_login
Nakalimutan ko po password ko,portal_login
Hindi ako makapasok sa account ko,portal_login
How do I connect to campus wifi,wifi_connection
What is the wifi password for the university,wifi_connection
Why is the campus internet not working,wifi_connection
How to connect my phone to school wifi,wifi_connection
I cant connect to the university network,wifi_connection
Paano kumonekta sa wifi,wifi_connection
Bakit ayaw kumonekta ang wifi,wifi_connection
Anong password ng wifi,wifi_connection
How do I access my online classes,lms_access
Where do I find my course materials,lms_access
How to log into the learning management system,lms_access
Why cant I see my class on the LMS,lms_access
How do I submit an assignment online,lms_access
Paano makita ang klase online,lms_access
Bakit di ko makita yung subject ko,lms_access
Paano mag-submit ng assignment online,lms_access
How do I set up my student email,student_email
I forgot my student email password,student_email
How to reset my school email account,student_email
Why is my student email not working,student_email
How do I access my university email on my phone,student_email
Paano gawin ang student email,student_email
Nakalimutan ko po password ng email ko,student_email
Bakit hindi gumagana yung email ko,student_email
How do I check my grades,check_grades
Where can I see my exam results,check_grades
How to view my transcript,check_grades
When will grades be released,check_grades
How do I request a copy of my grades,check_grades
Anong grade ko sa exam,check_grades
Saan makikita ang grades ko,check_grades
Kailan lalabas ang grades,check_grades
Paano makuha ang TOR ko,check_grades
May pasok ba ang grades online,check_grades
How do I enroll for next semester,enrollment_registration
How to register for classes,enrollment_registration
What is the deadline for enrollment,enrollment_registration
How do I add or drop a class,enrollment_registration
Can I still enroll late,enrollment_registration
Paano mag-enroll ulit next sem,enrollment_registration
Kailan ang huling araw ng enrollment,enrollment_registration
Paano mag-drop ng subject,enrollment_registration
Pwede pa po ba mag-enroll late,enrollment_registration
Saan mag-enroll online,enrollment_registration
